YearStart,YearEnd,LocationAbbr,LocationDesc,Data_Value,Race/Ethnicity,GeoLocation,Stratification1,StratificationCategoryId1,StratificationID1
2012,2012,CA,California,36.6,Non-Hispanic Black,"(37.63864012300047, -120.99999953799971)",Non-Hispanic Black,RACE,RACEBLK
2012,2012,CA,California,31.1,Hispanic,"(37.63864012300047, -120.99999953799971)",Hispanic,RACE,RACEHIS
2012,2012,CA,California,10.3,Asian,"(37.63864012300047, -120.99999953799971)",Asian,RACE,RACEASN
2012,2012,CA,California,31.4,Hawaiian/Pacific Islander,"(37.63864012300047, -120.99999953799971)",Hawaiian/Pacific Islander,RACE,RACEHPI
2012,2012,CA,California,17.6,American Indian/Alaska Native,"(37.63864012300047, -120.99999953799971)",American Indian/Alaska Native,RACE,RACENAA
2012,2012,CA,California,28.8,2 or more races,"(37.63864012300047, -120.99999953799971)",2 or more races,RACE,RACE2PLUS
2012,2012,CA,California,,Other,"(37.63864012300047, -120.99999953799971)",Other,RACE,RACEOTH
2013,2013,CA,California,21.8,Non-Hispanic White,"(37.63864012300047, -120.99999953799971)",Non-Hispanic White,RACE,RACEWHT
2013,2013,CA,California,34.8,Non-Hispanic Black,"(37.63864012300047, -120.99999953799971)",Non-Hispanic Black,RACE,RACEBLK
2013,2013,CA,California,30.6,Hispanic,"(37.63864012300047, -120.99999953799971)",Hispanic,RACE,RACEHIS
2013,2013,CA,California,9.3,Asian,"(37.63864012300047, -120.99999953799971)",Asian,RACE,RACEASN
2013,2013,CA,California,,Hawaiian/Pacific Islander,"(37.63864012300047, -120.99999953799971)",Hawaiian/Pacific Islander,RACE,RACEHPI
2013,2013,CA,California,38.6,American Indian/Alaska Native,"(37.63864012300047, -120.99999953799971)",American Indian/Alaska Native,RACE,RACENAA
2013,2013,CA,California,33.8,2 or more races,"(37.63864012300047, -120.99999953799971)",2 or more races,RACE,RACE2PLUS
2013,2013,CA,California,,Other,"(37.63864012300047, -120.99999953799971)",Other,RACE,RACEOTH
2014,2014,CA,California,22.7,Non-Hispanic White,"(37.63864012300047, -120.99999953799971)",Non-Hispanic White,RACE,RACEWHT
2014,2014,CA,California,32.7,Non-Hispanic Black,"(37.63864012300047, -120.99999953799971)",Non-Hispanic Black,RACE,RACEBLK
2014,2014,CA,California,32.3,Hispanic,"(37.63864012300047, -120.99999953799971)",Hispanic,RACE,RACEHIS
2014,2014,CA,California,8.9,Asian,"(37.63864012300047, -120.99999953799971)",Asian,RACE,RACEASN
2014,2014,CA,California,,Hawaiian/Pacific Islander,"(37.63864012300047, -120.99999953799971)",Hawaiian/Pacific Islander,RACE,RACEHPI
2014,2014,CA,California,32.1,American Indian/Alaska Native,"(37.63864012300047, -120.99999953799971)",American Indian/Alaska Native,RACE,RACENAA
2014,2014,CA,California,28.6,2 or more races,"(37.63864012300047, -120.99999953799971)",2 or more races,RACE,RACE2PLUS
2014,2014,CA,California,22.7,Other,"(37.63864012300047, -120.99999953799971)",Other,RACE,RACEOTH
2015,2015,CA,California,,Hawaiian/Pacific Islander,"(37.63864012300047, -120.99999953799971)",Hawaiian/Pacific Islander,RACE,RACEHPI
2015,2015,CA,California,10.1,Asian,"(37.63864012300047, -120.99999953799971)",Asian,RACE,RACEASN
2015,2015,CA,California,22.2,Non-Hispanic White,"(37.63864012300047, -120.99999953799971)",Non-Hispanic White,RACE,RACEWHT
2015,2015,CA,California,24.3,Other,"(37.63864012300047, -120.99999953799971)",Other,RACE,RACEOTH
2015,2015,CA,California,26,American Indian/Alaska Native,"(37.63864012300047, -120.99999953799971)",American Indian/Alaska Native,RACE,RACENAA
2015,2015,CA,California,26.6,2 or more races,"(37.63864012300047, -120.99999953799971)",2 or more races,RACE,RACE2PLUS
2015,2015,CA,California,30.8,Non-Hispanic Black,"(37.63864012300047, -120.99999953799971)",Non-Hispanic Black,RACE,RACEBLK
2015,2015,CA,California,31.3,Hispanic,"(37.63864012300047, -120.99999953799971)",Hispanic,RACE,RACEHIS
2011,2011,CO,Colorado,18.9,Non-Hispanic White,"(38.843840757000464, -106.13361092099967)",Non-Hispanic White,RACE,RACEWHT
2011,2011,CO,Colorado,34.2,Non-Hispanic Black,"(38.843840757000464, -106.13361092099967)",Non-Hispanic Black,RACE,RACEBLK
