YearStart,YearEnd,LocationAbbr,LocationDesc,Data_Value,Total,Gender,GeoLocation,Stratification1,StratificationCategoryId1,StratificationID1
2014,2014,LA,Louisiana,35.7,,Female,"(31.31266064400046, -92.44568007099969)",Female,GEN,FEMALE
2015,2015,LA,Louisiana,35.9,,Male,"(31.31266064400046, -92.44568007099969)",Male,GEN,MALE
2015,2015,LA,Louisiana,36.5,,Female,"(31.31266064400046, -92.44568007099969)",Female,GEN,FEMALE
2011,2011,ME,Maine,28.1,,Male,"(45.254228894000505, -68.98503133599962)",Male,GEN,MALE
2011,2011,ME,Maine,27.6,,Female,"(45.254228894000505, -68.98503133599962)",Female,GEN,FEMALE
2012,2012,ME,Maine,30.1,,Male,"(45.254228894000505, -68.98503133599962)",Male,GEN,MALE
2012,2012,ME,Maine,26.6,,Female,"(45.254228894000505, -68.98503133599962)",Female,GEN,FEMALE
2013,2013,ME,Maine,29.1,,Male,"(45.254228894000505, -68.98503133599962)",Male,GEN,MALE
2013,2013,ME,Maine,28.7,,Female,"(45.254228894000505, -68.98503133599962)",Female,GEN,FEMALE
2014,2014,ME,Maine,27.9,,Male,"(45.254228894000505, -68.98503133599962)",Male,GEN,MALE
2014,2014,ME,Maine,28.5,,Female,"(45.254228894000505, -68.98503133599962)",Female,GEN,FEMALE
2015,2015,ME,Maine,29.1,,Male,"(45.254228894000505, -68.98503133599962)",Male,GEN,MALE
2015,2015,ME,Maine,30.9,,Female,"(45.254228894000505, -68.98503133599962)",Female,GEN,FEMALE
2011,2011,MD,Maryland,28.7,,Male,"(39.29058096400047, -76.60926011099963)",Male,GEN,MALE
2011,2011,MD,Maryland,27.9,,Female,"(39.29058096400047, -76.60926011099963)",Female,GEN,FEMALE
2012,2012,MD,Maryland,26.5,,Male,"(39.29058096400047, -76.60926011099963)",Male,GEN,MALE
2012,2012,MD,Maryland,28.7,,Female,"(39.29058096400047, -76.60926011099963)",Female,GEN,FEMALE
2013,2013,MD,Maryland,27.8,,Male,"(39.29058096400047, -76.60926011099963)",Male,GEN,MALE
2013,2013,MD,Maryland,28.8,,Female,"(39.29058096400047, -76.60926011099963)",Female,GEN,FEMALE
2014,2014,MD,Maryland,27.8,,Male,"(39.29058096400047, -76.60926011099963)",Male,GEN,MALE
2014,2014,MD,Maryland,31.3,,Female,"(39.29058096400047, -76.60926011099963)",Female,GEN,FEMALE
2015,2015,MD,Maryland,28,,Male,"(39.29058096400047, -76.60926011099963)",Male,GEN,MALE
2015,2015,MD,Maryland,29.8,,Female,"(39.29058096400047, -76.60926011099963)",Female,GEN,FEMALE
2011,2011,MA,Massachusetts,24.1,,Male,"(42.27687047000046, -72.08269067499964)",Male,GEN,MALE
2011,2011,MA,Massachusetts,21.4,,Female,"(42.27687047000046, -72.08269067499964)",Female,GEN,FEMALE
