YearStart,YearEnd,LocationAbbr,LocationDesc,Data_Value,Age(years),GeoLocation,Stratification1,StratificationCategoryId1,StratificationID1
2015,2015,CA,California,25.1,25 - 34,"(37.63864012300047, -120.99999953799971)",25 - 34,AGEYR,AGEYR2534
2015,2015,CA,California,26.1,55 - 64,"(37.63864012300047, -120.99999953799971)",55 - 64,AGEYR,AGEYR5564
2015,2015,CA,California,27.5,35 - 44,"(37.63864012300047, -120.99999953799971)",35 - 44,AGEYR,AGEYR3544
2011,2011,CO,Colorado,10.2,18 - 24,"(38.843840757000464, -106.13361092099967)",18 - 24,AGEYR,AGEYR1824
2011,2011,CO,Colorado,19.3,25 - 34,"(38.843840757000464, -106.13361092099967)",25 - 34,AGEYR,AGEYR2534
2011,2011,CO,Colorado,22.7,35 - 44,"(38.843840757000464, -106.13361092099967)",35 - 44,AGEYR,AGEYR3544
2011,2011,CO,Colorado,24.2,45 - 54,"(38.843840757000464, -106.13361092099967)",45 - 54,AGEYR,AGEYR4554
2011,2011,CO,Colorado,24.2,55 - 64,"(38.843840757000464, -106.13361092099967)",55 - 64,AGEYR,AGEYR5564
2011,2011,CO,Colorado,20.2,65 or older,"(38.843840757000464, -106.13361092099967)",65 or older,AGEYR,AGEYR65PLUS
2012,2012,CO,Colorado,11.8,18 - 24,"(38.843840757000464, -106.13361092099967)",18 - 24,AGEYR,AGEYR1824
2012,2012,CO,Colorado,16.6,25 - 34,"(38.843840757000464, -106.13361092099967)",25 - 34,AGEYR,AGEYR2534
2012,2012,CO,Colorado,23.4,35 - 44,"(38.843840757000464, -106.13361092099967)",35 - 44,AGEYR,AGEYR3544
2012,2012,CO,Colorado,25.5,45 - 54,"(38.843840757000464, -106.13361092099967)",45 - 54,AGEYR,AGEYR4554
2012,2012,CO,Colorado,23.6,55 - 64,"(38.843840757000464, -106.13361092099967)",55 - 64,AGEYR,AGEYR5564
2012,2012,CO,Colorado,19.6,65 or older,"(38.843840757000464, -106.13361092099967)",65 or older,AGEYR,AGEYR65PLUS
2013,2013,CO,Colorado,24.9,55 - 64,"(38.843840757000464, -106.13361092099967)",55 - 64,AGEYR,AGEYR5564
2013,2013,CO,Colorado,11.3,18 - 24,"(38.843840757000464, -106.13361092099967)",18 - 24,AGEYR,AGEYR1824
2013,2013,CO,Colorado,20.8,25 - 34,"(38.843840757000464, -106.13361092099967)",25 - 34,AGEYR,AGEYR2534
2013,2013,CO,Colorado,24.5,35 - 44,"(38.843840757000464, -106.13361092099967)",35 - 44,AGEYR,AGEYR3544
2013,2013,CO,Colorado,24.6,45 - 54,"(38.843840757000464, -106.13361092099967)",45 - 54,AGEYR,AGEYR4554
2013,2013,CO,Colorado,18.6,65 or older,"(38.843840757000464, -106.13361092099967)",65 or older,AGEYR,AGEYR65PLUS
2014,2014,CO,Colorado,10.9,18 - 24,"(38.843840757000464, -106.13361092099967)",18 - 24,AGEYR,AGEYR1824
2014,2014,CO,Colorado,18.7,25 - 34,"(38.843840757000464, -106.13361092099967)",25 - 34,AGEYR,AGEYR2534
2014,2014,CO,Colorado,24.1,35 - 44,"(38.843840757000464, -106.13361092099967)",35 - 44,AGEYR,AGEYR3544
2014,2014,CO,Colorado,24.7,45 - 54,"(38.843840757000464, -106.13361092099967)",45 - 54,AGEYR,AGEYR4554
2014,2014,CO,Colorado,26.1,55 - 64,"(38.843840757000464, -106.13361092099967)",55 - 64,AGEYR,AGEYR5564
2014,2014,CO,Colorado,20.5,65 or older,"(38.843840757000464, -106.13361092099967)",65 or older,AGEYR,AGEYR65PLUS
2015,2015,CO,Colorado,24.1,45 - 54,"(38.843840757000464, -106.13361092099967)",45 - 54,AGEYR,AGEYR4554
2015,2015,CO,Colorado,24.1,55 - 64,"(38.843840757000464, -106.13361092099967)",55 - 64,AGEYR,AGEYR5564
2015,2015,CO,Colorado,11.2,18 - 24,"(38.843840757000464, -106.13361092099967)",18 - 24,AGEYR,AGEYR1824
2015,2015,CO,Colorado,17.3,25 - 34,"(38.843840757000464, -106.13361092099967)",25 - 34,AGEYR,AGEYR2534
2015,2015,CO,Colorado,20,65 or older,"(38.843840757000464, -106.13361092099967)",65 or older,AGEYR,AGEYR65PLUS
