YearStart,YearEnd,LocationAbbr,LocationDesc,Data_Value,Total,GeoLocation,Stratification1,StratificationCategoryId1,StratificationID1
2013,2013,VT,Vermont,24.7,Total,"(43.62538123900049, -72.51764079099962)",Total,OVR,OVERALL
2013,2013,VA,Virginia,27.2,Total,"(37.54268067400045, -78.45789046299967)",Total,OVR,OVERALL
2013,2013,WA,Washington,27.2,Total,"(47.52227862900048, -120.47001078999972)",Total,OVR,OVERALL
2013,2013,WV,West Virginia,35.1,Total,"(38.66551020200046, -80.71264013499967)",Total,OVR,OVERALL
2013,2013,WI,Wisconsin,29.8,Total,"(44.39319117400049, -89.81637074199966)",Total,OVR,OVERALL
2013,2013,WY,Wyoming,27.8,Total,"(43.23554134300048, -108.10983035299967)",Total,OVR,OVERALL
2014,2014,AL,Alabama,33.5,Total,"(32.84057112200048, -86.63186076199969)",Total,OVR,OVERALL
2014,2014,AK,Alaska,29.7,Total,"(64.84507995700051, -147.72205903599973)",Total,OVR,OVERALL
2014,2014,AZ,Arizona,28.9,Total,"(34.865970280000454, -111.76381127699972)",Total,OVR,OVERALL
2014,2014,AR,Arkansas,35.9,Total,"(34.74865012400045, -92.27449074299966)",Total,OVR,OVERALL
2014,2014,CA,California,24.7,Total,"(37.63864012300047, -120.99999953799971)",Total,OVR,OVERALL
2014,2014,CO,Colorado,21.3,Total,"(38.843840757000464, -106.13361092099967)",Total,OVR,OVERALL
2014,2014,CT,Connecticut,26.3,Total,"(41.56266102000046, -72.64984095199964)",Total,OVR,OVERALL
2014,2014,DE,Delaware,30.7,Total,"(39.008830667000495, -75.57774116799965)",Total,OVR,OVERALL
2014,2014,DC,District of Columbia,21.7,Total,"(38.89037138500049, -77.03196112699965)",Total,OVR,OVERALL
2014,2014,FL,Florida,26.2,Total,"(28.932040377000476, -81.92896053899966)",Total,OVR,OVERALL
2014,2014,GA,Georgia,30.5,Total,"(32.83968109300048, -83.62758034599966)",Total,OVR,OVERALL
2014,2014,GU,Guam,28,Total,"(13.444304, 144.793731)",Total,OVR,OVERALL
2014,2014,HI,Hawaii,22.1,Total,"(21.304850435000446, -157.85774940299973)",Total,OVR,OVERALL
2014,2014,ID,Idaho,28.9,Total,"(43.682630005000476, -114.3637300419997)",Total,OVR,OVERALL
2014,2014,IL,Illinois,29.3,Total,"(40.48501028300046, -88.99771017799969)",Total,OVR,OVERALL
2014,2014,IN,Indiana,32.7,Total,"(39.766910452000445, -86.14996019399968)",Total,OVR,OVERALL
2014,2014,IA,Iowa,30.9,Total,"(42.46940091300047, -93.81649055599968)",Total,OVR,OVERALL
2014,2014,KS,Kansas,31.3,Total,"(38.34774030000045, -98.20078122699965)",Total,OVR,OVERALL
2014,2014,KY,Kentucky,31.6,Total,"(37.645970271000465, -84.77497104799966)",Total,OVR,OVERALL
2014,2014,LA,Louisiana,34.9,Total,"(31.31266064400046, -92.44568007099969)",Total,OVR,OVERALL
2014,2014,ME,Maine,28.2,Total,"(45.254228894000505, -68.98503133599962)",Total,OVR,OVERALL
2014,2014,MD,Maryland,29.6,Total,"(39.29058096400047, -76.60926011099963)",Total,OVR,OVERALL
2014,2014,MA,Massachusetts,23.3,Total,"(42.27687047000046, -72.08269067499964)",Total,OVR,OVERALL
2014,2014,MI,Michigan,30.7,Total,"(44.6613195430005, -84.71439026999968)",Total,OVR,OVERALL
2014,2014,MN,Minnesota,27.6,Total,"(46.35564873600049, -94.79420050299967)",Total,OVR,OVERALL
2014,2014,MS,Mississippi,35.5,Total,"(32.745510099000455, -89.53803082499968)",Total,OVR,OVERALL
2014,2014,MO,Missouri,30.2,Total,"(38.635790776000476, -92.56630005299968)",Total,OVR,OVERALL
2014,2014,MT,Montana,26.4,Total,"(47.06652897200047, -109.42442064499971)",Total,OVR,OVERALL
2014,2014,US,National,28.9,Total,,Total,OVR,OVERALL
2014,2014,NE,Nebraska,30.2,Total,"(41.6410409880005, -99.36572062299967)",Total,OVR,OVERALL
2014,2014,NV,Nevada,27.7,Total,"(39.493240390000494, -117.07184056399967)",Total,OVR,OVERALL
2014,2014,NH,New Hampshire,27.4,Total,"(43.65595011300047, -71.50036091999965)",Total,OVR,OVERALL
2014,2014,NJ,New Jersey,26.9,Total,"(40.13057004800049, -74.27369128799967)",Total,OVR,OVERALL
2014,2014,NM,New Mexico,28.4,Total,"(34.52088095200048, -106.24058098499967)",Total,OVR,OVERALL
2014,2014,NY,New York,27,Total,"(42.82700103200045, -75.54397042699964)",Total,OVR,OVERALL
2014,2014,NC,North Carolina,29.7,Total,"(35.466220975000454, -79.15925046299964)",Total,OVR,OVERALL
